start,end,VAR00003,location,age,education,illiterateReason,address,schoolLeakage,workingStatus,socialStatus,ageOfMarriage,reasonOfMarriage,pregnant,disability,typeOfDisability,livingWithFamily,whereDoYouLive,whyLivingOutsideFamily,Version,ID,UUID,SubmissionTime,Index,gazaOrWestBank,type
2017-12-11T10:53:25.696+02,2017-12-11T10:54:27.581+02,null,Gaza City,17 - 18,Secondary education,null,City,No,Student,Married,22 - 25,Force by family,Yes,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7256752,542a5f96-3268-45ad-84d6-6237ffc29fc6,2017-12-11T09:23:20,225,Gaza,adolescentGirls
2017-12-11T10:54:34.257+02,2017-12-11T10:55:31.823+02,null,Gaza City,17 - 18,Basic education,Family force,City,No,Unemployed,Married,22 - 25,Force by family,Yes,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7256753,60a7ebdb-7b33-484a-b804-3d1979346420,2017-12-11T09:23:21,226,Gaza,adolescentGirls
2017-12-11T10:55:54.316+02,2017-12-11T10:56:33.878+02,null,Gaza City,17 - 18,Secondary education,null,City,No,Student,Single,More than 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7256754,a322cd1e-3ba2-4b0d-aab6-128fab0f2e4b,2017-12-11T09:23:21,227,Gaza,adolescentGirls
2017-12-11T10:56:50.214+02,2017-12-11T10:57:50.932+02,null,Gaza City,17 - 18,Secondary education,null,City,No,Student,Single,22 - 25,null,null,Yes,Mobility impairment,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7256755,b8e0a6a3-bfc9-45a0-85b1-a746d7774731,2017-12-11T09:23:21,228,Gaza,adolescentGirls
2017-12-11T10:57:59.011+02,2017-12-11T10:58:43.626+02,null,Gaza City,17 - 18,Secondary education,null,City,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7256756,1c87379d-6049-4eb5-ac4a-94e6b542b900,2017-12-11T09:23:22,229,Gaza,adolescentGirls
2017-12-11T10:58:54.554+02,2017-12-11T10:59:43.942+02,null,Gaza City,17 - 18,Secondary education,null,City,No,Student,Single,22 - 25,null,null,Yes,Hearing impairment,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7256757,74538bd1-a113-448e-bef8-eaf953530675,2017-12-11T09:23:22,230,Gaza,adolescentGirls
2017-12-11T10:59:53.367+02,2017-12-11T11:00:51.740+02,null,Gaza City,17 - 18,Secondary education,null,City,No,Student,Married,22 - 25,Force by family,No,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7256758,91ca7d9e-907b-4f56-b9f1-9a0fe8becbec,2017-12-11T09:23:22,231,Gaza,adolescentGirls
2017-12-11T11:01:08.858+02,2017-12-11T11:01:48.275+02,null,Gaza City,17 - 18,Secondary education,null,City,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7256759,a18de841-c55d-4d8c-a762-6a1a6ee87b5e,2017-12-11T09:23:23,232,Gaza,adolescentGirls
2017-12-11T11:07:28.206+02,2017-12-11T11:08:10.212+02,null,Gaza City,17 - 18,Secondary education,null,City,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7256760,e6071458-8a9e-4beb-89c8-00d43148c82a,2017-12-11T09:23:23,233,Gaza,adolescentGirls
2017-12-11T11:08:21.239+02,2017-12-11T11:08:59.796+02,null,Gaza City,17 - 18,Secondary education,null,City,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7256761,eabe5d10-40b6-4f32-aa5f-7b8ef481f74c,2017-12-11T09:23:23,234,Gaza,adolescentGirls
2017-12-11T11:09:05.326+02,2017-12-11T11:10:08.400+02,null,Gaza City,17 - 18,Secondary education,null,City,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7256762,4b970c63-dcc3-4983-9378-3e87acd1433f,2017-12-11T09:23:24,235,Gaza,adolescentGirls
2017-12-11T11:10:11.018+02,2017-12-11T11:10:51.375+02,null,Gaza City,17 - 18,Secondary education,null,City,No,Student,Single,More than 25,null,null,Yes,Hearing impairment,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7256763,e9d69208-7a9a-4e12-881e-8b1954bdb92f,2017-12-11T09:23:24,236,Gaza,adolescentGirls
2017-12-11T11:12:14.906+02,2017-12-11T11:12:57.233+02,null,Gaza City,17 - 18,Secondary education,null,City,No,Student,Single,More than 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7256764,454dea9c-6d7d-45f8-bb34-684da1414472,2017-12-11T09:23:24,237,Gaza,adolescentGirls
2017-12-11T11:12:59.493+02,2017-12-11T11:13:56.422+02,null,Gaza City,17 - 18,Secondary education,null,City,No,Student,Single,More than 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7256765,869778a8-cf76-4f4d-b76c-ff0a2f3aedf6,2017-12-11T09:23:24,238,Gaza,adolescentGirls
2017-12-11T11:15:48.702+02,2017-12-11T11:16:23.492+02,null,Gaza City,17 - 18,Secondary education,null,City,No,Student,Single,More than 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7256766,d5cf32a4-acf3-4fe5-94e5-0370a5f18f14,2017-12-11T09:23:25,239,Gaza,adolescentGirls
2017-12-11T11:21:08.550+02,2017-12-11T11:21:56.701+02,null,Gaza City,17 - 18,Secondary education,null,City,No,Student,Married,19 - 21,Your choice,No,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7256767,290e7a14-716f-4655-80ea-4faa4e6d8399,2017-12-11T09:23:25,240,Gaza,adolescentGirls
2017-12-11T11:22:08.930+02,2017-12-11T11:23:13.251+02,null,Gaza City,17 - 18,Secondary education,null,City,No,Student,Single,More than 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7256768,e4f0da0d-cd8e-4814-a14a-32cf9c26bc7d,2017-12-11T09:23:25,241,Gaza,adolescentGirls
2017-12-11T11:57:24.010+02,2017-12-11T11:58:10.529+02,null,Dura,15 - 16,Secondary education,null,City,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7257580,51691cd6-3e78-4f0a-a874-f8ea4bd47c61,2017-12-11T09:58:27,242,West Bank,adolescentGirls
2017-12-10T13:00:22.011+02,2017-12-10T13:01:52.501+02,null,Al Fawwar Refugee Camp,17 - 18,Secondary education,null,Refugee camp,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258193,39c79137-0bdb-49b7-8ed2-4157ae42ac25,2017-12-11T10:21:32,243,West Bank,adolescentGirls
2017-12-10T13:01:55.873+02,2017-12-10T13:02:53.875+02,null,Al Fawwar Refugee Camp,17 - 18,Secondary education,null,Refugee camp,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258194,631c680a-467d-4363-be5b-d373ce890ff8,2017-12-11T10:21:32,244,West Bank,adolescentGirls
2017-12-10T13:26:52.050+02,2017-12-10T13:28:22.026+02,null,Al Fawwar Refugee Camp,17 - 18,Secondary education,null,Refugee camp,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258203,483ef507-9017-4f1d-b388-75dd851c4e38,2017-12-11T10:21:37,245,West Bank,adolescentGirls
2017-12-10T13:35:44.257+02,2017-12-10T13:36:45.485+02,null,Al Fawwar Refugee Camp,15 - 16,Basic education,null,Refugee camp,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258205,57a1c5a0-8bb0-4edf-8c74-53856bb30f46,2017-12-11T10:21:38,246,West Bank,adolescentGirls
2017-12-10T13:54:45.590+02,2017-12-10T13:55:53.944+02,null,Hebron City,13 - 14,Basic education,null,Refugee camp,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258209,8b96d390-3480-43f6-a346-ef328e86d573,2017-12-11T10:21:39,247,West Bank,adolescentGirls
2017-12-10T13:56:11.800+02,2017-12-10T13:59:56.214+02,null,Al Fawwar Refugee Camp,17 - 18,Secondary education,null,Refugee camp,Yes,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258210,dda3413d-89fb-47af-9534-1420c65f6955,2017-12-11T10:21:40,248,West Bank,adolescentGirls
2017-12-10T14:00:01.910+02,2017-12-10T14:01:31.072+02,null,Al Fawwar Refugee Camp,15 - 16,Basic education,null,Refugee camp,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258211,90824641-fb77-4ded-bbaf-cd6c99602a7f,2017-12-11T10:21:40,249,West Bank,adolescentGirls
2017-12-10T14:09:42.520+02,2017-12-10T14:10:35.048+02,null,Al Fawwar Refugee Camp,13 - 14,Basic education,null,Refugee camp,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258213,8e7d965d-450d-4cd2-90bd-6ab063395e6a,2017-12-11T10:21:41,250,West Bank,adolescentGirls
2017-12-10T14:26:27.676+02,2017-12-10T14:28:50.456+02,null,Al Fawwar Refugee Camp,13 - 14,Basic education,null,Refugee camp,Yes,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258218,5fe65ed9-5011-4617-b436-40bb49250529,2017-12-11T10:21:43,251,West Bank,adolescentGirls
2017-12-10T14:28:57.637+02,2017-12-10T14:29:34.786+02,null,Al Fawwar Refugee Camp,13 - 14,Basic education,null,Refugee camp,Yes,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258219,d26ade23-664c-4650-95b1-77dd835b213b,2017-12-11T10:21:44,252,West Bank,adolescentGirls
2017-12-10T14:31:04.006+02,2017-12-10T14:32:26.193+02,null,Al Fawwar Refugee Camp,15 - 16,Secondary education,null,Refugee camp,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258221,914e4ec3-170e-49d6-8141-39026ad18b22,2017-12-11T10:21:45,253,West Bank,adolescentGirls
2017-12-10T14:32:48.959+02,2017-12-10T14:33:40.745+02,null,Al Fawwar Refugee Camp,13 - 14,Basic education,null,Refugee camp,No,Student,Single,More than 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258222,c68cdeaf-5e0d-4318-9fa3-5ad02fad3558,2017-12-11T10:21:47,254,West Bank,adolescentGirls
2017-12-10T14:35:34.867+02,2017-12-10T14:37:05.119+02,null,Al Fawwar Refugee Camp,13 - 14,Basic education,null,Refugee camp,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258223,4348b83b-de1a-4fe0-bead-cec6d91a288f,2017-12-11T10:21:49,255,West Bank,adolescentGirls
2017-12-10T14:38:21.704+02,2017-12-10T14:39:22.011+02,null,Al Fawwar Refugee Camp,13 - 14,Basic education,null,Refugee camp,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258224,38a9692e-eaed-480b-a09c-59be800fccec,2017-12-11T10:21:49,256,West Bank,adolescentGirls
2017-12-11T12:21:32.320+02,2017-12-11T12:22:19.460+02,null,Hebron City,15 - 16,Secondary education,null,City,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258241,b3882a66-0d45-4ad5-a105-a95293587cdf,2017-12-11T10:22:22,257,West Bank,adolescentGirls
2017-12-11T12:35:02.436+02,2017-12-11T12:35:46.101+02,null,Hebron City,17 - 18,Secondary education,null,City,No,Unemployed,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258435,490bb793-3c10-40c2-8265-ddf3bcb967a6,2017-12-11T10:35:49,258,West Bank,adolescentGirls
2017-12-11T12:35:56.571+02,2017-12-11T12:36:39.977+02,null,Hebron City,15 - 16,Basic education,null,City,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258442,1ae199d4-d945-43d4-9d74-9562759000b1,2017-12-11T10:36:42,259,West Bank,adolescentGirls
2017-12-11T12:41:47.258+02,2017-12-11T12:42:54.364+02,null,Hebron City,17 - 18,Secondary education,null,City,No,Student,Married,22 - 25,Force by family,No,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258507,442969c5-d938-40d3-86bf-751dbf225b05,2017-12-11T10:42:58,260,West Bank,adolescentGirls
2017-12-11T12:43:18.459+02,2017-12-11T12:43:52.765+02,null,Hebron City,17 - 18,Secondary education,null,City,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258526,dc6e95ea-cf15-41ce-a8db-cef8873f0636,2017-12-11T10:43:55,261,West Bank,adolescentGirls
2017-12-11T09:26:15.945+02,2017-12-11T10:14:22.799+02,null,Nablus City,17 - 18,Basic education,null,City,No,Student,Single,More than 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258557,38dad9c2-ef45-47c3-ad9d-a3a6a6282d3a,2017-12-11T10:45:58,262,West Bank,adolescentGirls
2017-12-11T09:30:01.171+02,2017-12-11T10:15:54.381+02,null,Nablus City,15 - 16,Secondary education,null,City,Yes,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258558,ba11029d-ad58-4b80-86a0-f5d064f0071b,2017-12-11T10:45:59,263,West Bank,adolescentGirls
2017-12-11T09:33:41.792+02,2017-12-11T10:16:39.130+02,null,Nablus City,17 - 18,Secondary education,null,City,No,Student,Single,More than 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258559,c0fa70f4-640f-4b5b-aedc-d19d2a64f831,2017-12-11T10:45:59,264,West Bank,adolescentGirls
2017-12-11T09:35:14.980+02,2017-12-11T10:16:15.585+02,null,Nablus City,17 - 18,Secondary education,null,City,Yes,Student,Single,More than 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258560,d9469d5b-479c-4250-8394-4b702a08cfc8,2017-12-11T10:46:00,265,West Bank,adolescentGirls
2017-12-11T09:36:54.728+02,2017-12-11T10:16:25.627+02,null,Nablus City,17 - 18,Secondary education,null,City,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258561,a083fd49-1bf1-45a2-bce6-9abdbeebaf45,2017-12-11T10:46:01,266,West Bank,adolescentGirls
2017-12-11T09:39:04.016+02,2017-12-11T10:15:02.443+02,null,Nablus City,17 - 18,Secondary education,null,City,Yes,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258562,1f4e11fd-69db-49b6-8f6c-c4f013a18a86,2017-12-11T10:46:01,267,West Bank,adolescentGirls
2017-12-11T09:40:55.030+02,2017-12-11T10:15:13.391+02,null,Nablus City,17 - 18,Secondary education,null,City,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258563,daf3d0a6-d67b-4aec-885c-70b03f37d7f5,2017-12-11T10:46:02,268,West Bank,adolescentGirls
2017-12-11T09:42:52.439+02,2017-12-11T12:45:28.587+02,null,Nablus City,15 - 16,Secondary education,null,City,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258564,4bc47798-4328-459d-b9ee-39e45c2602cf,2017-12-11T10:46:02,269,West Bank,adolescentGirls
2017-12-11T09:44:12.721+02,2017-12-11T12:45:35.148+02,null,Nablus City,17 - 18,Secondary education,null,City,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258565,75400bfd-7528-49dc-b041-51471f69d810,2017-12-11T10:46:03,270,West Bank,adolescentGirls
2017-12-11T09:46:20.117+02,2017-12-11T10:19:06.993+02,null,Nablus City,17 - 18,Secondary education,null,City,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258566,0e41b4cf-a5f4-4e10-a1f9-b70cbddeefb8,2017-12-11T10:46:03,271,West Bank,adolescentGirls
2017-12-11T09:47:57.612+02,2017-12-11T10:18:47.454+02,null,Nablus City,17 - 18,Secondary education,null,City,Yes,Student,Married,16 - 18,Your choice,No,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258567,885674a0-24a8-4f3b-b8d4-fac068d81cb8,2017-12-11T10:46:03,272,West Bank,adolescentGirls
2017-12-11T09:50:10.696+02,2017-12-11T10:18:28.465+02,null,Nablus City,17 - 18,Secondary education,null,City,Yes,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258568,7a06b007-8761-4015-a658-a842da8fbc15,2017-12-11T10:46:04,273,West Bank,adolescentGirls
2017-12-11T09:51:48.652+02,2017-12-11T10:18:17.028+02,null,Nablus City,17 - 18,Secondary education,null,City,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258569,77803be9-7211-4c8f-a24e-2ab46545822a,2017-12-11T10:46:04,274,West Bank,adolescentGirls
2017-12-11T09:53:03.741+02,2017-12-11T10:19:45.896+02,null,Nablus City,17 - 18,Secondary education,null,City,Yes,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258570,f30e5139-d511-49a2-adf6-395b89d5be10,2017-12-11T10:46:05,275,West Bank,adolescentGirls
2017-12-11T09:54:05.615+02,2017-12-11T10:17:55.783+02,null,Nablus City,15 - 16,Secondary education,null,City,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258571,abc9b078-7999-4661-aa99-11a7c42c760b,2017-12-11T10:46:05,276,West Bank,adolescentGirls
2017-12-11T09:55:33.399+02,2017-12-11T12:45:43.280+02,null,Nablus City,15 - 16,Secondary education,null,City,Yes,Student,Single,16 - 18,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258572,a02afb4f-b279-48d7-9938-7e7b4ef3e5e3,2017-12-11T10:46:06,277,West Bank,adolescentGirls
2017-12-11T09:57:10.756+02,2017-12-11T10:17:21.804+02,null,Nablus City,17 - 18,Secondary education,null,City,No,Student,Married,22 - 25,Your choice,No,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258573,9c755f1c-2527-41ba-afa1-a5f4d15b4717,2017-12-11T10:46:07,278,West Bank,adolescentGirls
2017-12-11T09:58:58.603+02,2017-12-11T10:17:11.153+02,null,Nablus City,17 - 18,Secondary education,null,City,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258574,f902f13f-173f-40a6-9881-f998a297777d,2017-12-11T10:46:07,279,West Bank,adolescentGirls
2017-12-11T10:00:47.954+02,2017-12-11T10:17:01.839+02,null,Nablus City,17 - 18,Secondary education,null,City,Yes,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258575,0753422e-b0cb-40ec-b446-a82eb5f947cf,2017-12-11T10:46:08,280,West Bank,adolescentGirls
2017-12-11T10:02:45.473+02,2017-12-11T10:16:53.971+02,null,Nablus City,17 - 18,Secondary education,null,City,Yes,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258576,cdeb309f-1019-4415-876a-46df12496924,2017-12-11T10:46:08,281,West Bank,adolescentGirls
2017-12-11T10:04:16.268+02,2017-12-11T10:16:47.636+02,null,Nablus City,17 - 18,Secondary education,null,City,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258578,060eeae3-86d0-44b6-8070-5614143f52db,2017-12-11T10:46:08,282,West Bank,adolescentGirls
2017-12-11T12:48:38.360+02,2017-12-11T12:49:13.955+02,null,Hebron City,15 - 16,Secondary education,null,City,No,Student,Single,16 - 18,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258692,df23f824-7166-4f64-be59-49c62045fffa,2017-12-11T10:49:19,283,West Bank,adolescentGirls
2017-12-11T12:49:16.548+02,2017-12-11T12:49:53.132+02,null,Hebron City,17 - 18,Secondary education,null,City,No,Student,Single,More than 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258703,ab1055bf-49c0-41c0-8b9c-5546c45a04bd,2017-12-11T10:49:57,284,West Bank,adolescentGirls
2017-12-11T12:49:55.512+02,2017-12-11T12:50:23.040+02,null,Hebron City,17 - 18,Secondary education,null,City,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258724,9fcf6c08-eb26-4bd2-b066-2581231cd756,2017-12-11T10:50:27,285,West Bank,adolescentGirls
2017-12-11T12:50:50.860+02,2017-12-11T12:51:44.150+02,null,Hebron City,17 - 18,Secondary education,null,City,No,Student,Single,22 - 25,null,null,No,null,No,With relatives,Orphan,vBfZBbTvzh8aQdmbds9u87,7258748,dac4f9a8-4e51-4cdf-9122-df03ca2e6896,2017-12-11T10:51:48,286,West Bank,adolescentGirls
2017-12-11T12:51:46.994+02,2017-12-11T12:52:23.364+02,null,Hebron City,15 - 16,Secondary education,null,City,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258754,ab1e6f24-9031-4214-bfdb-763c19c1b37b,2017-12-11T10:52:26,287,West Bank,adolescentGirls
2017-12-11T10:30:37.715+02,2017-12-11T10:31:51.615+02,null,Gaza City,15 - 16,Basic education,null,City,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7259661,14e0d846-1a13-4c5f-ac38-0774c3ba4682,2017-12-11T11:31:29,288,Gaza,adolescentGirls
2017-12-11T10:35:29.991+02,2017-12-11T10:36:08.940+02,null,Gaza City,15 - 16,Basic education,null,City,No,Student,Single,16 - 18,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7259662,271925bb-09f5-444a-8e12-d3feb4333c5b,2017-12-11T11:31:29,289,Gaza,adolescentGirls
2017-12-11T10:36:15.575+02,2017-12-11T10:36:47.843+02,null,Gaza City,15 - 16,Basic education,null,City,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7259663,8ccc92f4-8a24-4af2-9c35-40bdd15e37f4,2017-12-11T11:31:30,290,Gaza,adolescentGirls
2017-12-11T10:37:44.071+02,2017-12-11T10:38:14.712+02,null,Gaza City,15 - 16,Basic education,null,City,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7259664,b9442ba1-c072-41eb-8a64-934460f9ef95,2017-12-11T11:31:30,291,Gaza,adolescentGirls
2017-12-11T10:38:17.414+02,2017-12-11T10:39:04.062+02,null,Gaza City,15 - 16,Basic education,null,City,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7259665,8f50921a-5f18-4086-956c-b36ff44d5356,2017-12-11T11:31:30,292,Gaza,adolescentGirls
2017-12-11T10:39:06.110+02,2017-12-11T10:39:38.105+02,null,Gaza City,15 - 16,Secondary education,null,City,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7259666,fa035907-5a28-4aa8-bff4-1aa5405df157,2017-12-11T11:31:31,293,Gaza,adolescentGirls
2017-12-11T10:39:40.264+02,2017-12-11T10:40:03.455+02,null,Gaza City,15 - 16,Secondary education,null,City,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7259667,a88e5aff-3f7a-4732-96fc-c8dec760c78e,2017-12-11T11:31:31,294,Gaza,adolescentGirls
2017-12-11T10:52:10.846+02,2017-12-11T10:52:49.771+02,null,Gaza City,15 - 16,Secondary education,null,City,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7259668,f5446d39-8eaa-4e30-af9f-1a1581cca1f5,2017-12-11T11:31:31,295,Gaza,adolescentGirls
2017-12-11T10:52:52.614+02,2017-12-11T10:53:28.475+02,null,Gaza City,15 - 16,Secondary education,null,City,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7259669,1895ff95-8fdb-411b-834c-f81dc0ebe34a,2017-12-11T11:31:32,296,Gaza,adolescentGirls
2017-12-11T10:53:30.911+02,2017-12-11T10:54:06.762+02,null,Gaza City,15 - 16,Secondary education,null,City,No,Student,Single,16 - 18,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7259670,41154a21-6802-4c4b-b7aa-6253638bc4de,2017-12-11T11:31:32,297,Gaza,adolescentGirls
2017-12-11T10:54:08.852+02,2017-12-11T10:54:51.282+02,null,Gaza City,15 - 16,Secondary education,null,City,No,Student,Married,16 - 18,Your choice,No,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7259671,1b0f39c7-2470-43d1-8a09-8e420889c604,2017-12-11T11:31:32,298,Gaza,adolescentGirls
2017-12-11T10:54:54.391+02,2017-12-11T10:55:21.966+02,null,Gaza City,15 - 16,Secondary education,null,City,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7259672,db808e29-0ff8-4412-ab73-7a6d4cf26b76,2017-12-11T11:31:33,299,Gaza,adolescentGirls
2017-12-11T10:55:31.112+02,2017-12-11T10:55:56.090+02,null,Gaza City,15 - 16,Secondary education,null,City,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7259673,2636552b-0712-47ef-9928-283be6ce11b7,2017-12-11T11:31:33,300,Gaza,adolescentGirls
2017-12-11T10:57:30.657+02,2017-12-11T10:58:01.450+02,null,Gaza City,15 - 16,Secondary education,null,City,No,Student,Single,16 - 18,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7259674,71564052-91b2-4110-834c-a13d79c48693,2017-12-11T11:31:33,301,Gaza,adolescentGirls
2017-12-11T10:58:03.584+02,2017-12-11T10:58:29.494+02,null,Gaza City,15 - 16,Secondary education,null,City,No,Student,Single,16 - 18,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7259675,b66fd509-d522-409b-85a0-8e8d887ee817,2017-12-11T11:31:34,302,Gaza,adolescentGirls
2017-12-11T10:58:31.274+02,2017-12-11T10:59:05.440+02,null,Gaza City,15 - 16,Secondary education,null,City,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7259676,44306cba-4ffb-4885-9325-48dd8fdd9ea6,2017-12-11T11:31:34,303,Gaza,adolescentGirls
2017-12-11T10:59:08.056+02,2017-12-11T10:59:33.583+02,null,Gaza City,15 - 16,Secondary education,null,City,No,Student,Single,16 - 18,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7259677,4361cc69-8284-499b-a9cf-01cd1e4b9910,2017-12-11T11:31:34,304,Gaza,adolescentGirls
2017-12-11T10:59:56.004+02,2017-12-11T11:00:23.719+02,null,Gaza City,15 - 16,Secondary education,null,City,No,Student,Single,16 - 18,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7259678,5e552e2f-ad97-4d5d-b744-56e3e947c446,2017-12-11T11:31:35,305,Gaza,adolescentGirls
